Etr,Erot1_in,Erot2_in,Etr_out,Erot1_out,Erot2_out
3.053240911966544e-21,5.4349582148607915e-21,4.006933003245771e-21,7.317112657695507e-21,2.4542816384678314e-21,2.7239192622310084e-21
4.627350085414839e-21,3.1807861659662957e-21,6.21929125461104e-22,7.048451021191237e-21,1.2251827420111471e-21,1.5567513432658165e-22
3.1468419402142116e-21,4.781895556348208e-23,1.356482957780498e-21,3.990711798787377e-21,1.7422558154448935e-22,3.8556731317366554e-22
6.917362859669208e-21,2.039453031696005e-22,5.1320525220764685e-21,8.595195775673914e-21,1.8562052532913878e-21,1.8006219293576286e-21
1.1581114650702133e-21,3.324236813033678e-21,3.156156541030502e-21,1.7222722276283262e-21,4.662943785386055e-21,1.2549096136927324e-21
4.26548315906451e-21,3.965732431271511e-21,5.15049837131121e-22,5.369484234167373e-21,1.1881352855466851e-21,2.1897738012412158e-21
6.236626709204925e-21,8.218087274359468e-22,4.248603999885577e-21,9.820399654020429e-21,2.688219125200912e-22,1.2159656709212119e-21
2.3458989595219314e-20,5.494230003637945e-23,6.143540161199596e-22,1.5861751003892243e-20,4.979312290436279e-21,3.2870987255222108e-21
3.999727490272304e-21,4.0790141862116664e-21,2.9830103834046847e-21,6.766857019389461e-21,2.816095746608921e-22,4.012847646839319e-21
2.646127167639763e-21,2.1583037160594208e-21,7.223719575758076e-21,5.011984478719242e-21,2.210160509033728e-21,4.805703365958987e-21
1.974665251893829e-20,9.488030918872532e-21,7.093920696270959e-21,2.1252950439034452e-20,2.5568562795372135e-22,1.481932100324819e-20
2.6648705738867463e-20,9.835669119181392e-21,2.1384413012613764e-20,4.6483054254502686e-20,3.674125276459244e-21,7.711162810723354e-21
3.984953789254899e-21,1.4318294527225151e-21,1.4462491755675241e-21,2.9333664611120597e-21,3.3180518114333692e-21,6.118486984838176e-22
3.533747958571281e-21,5.349690664055653e-21,1.8490927688534872e-21,1.821295603956584e-21,4.768196751682895e-21,4.143300440915125e-21
6.723618433220393e-22,1.564927379094211e-20,8.552542842701168e-22,4.658888716419241e-21,8.879679672723088e-21,3.638880821174989e-21
3.985865533657204e-22,2.4688317050369315e-21,2.6127576283217467e-21,1.0430149553075265e-21,5.348824863519912e-22,3.903593424890296e-21
4.32804038920618e-21,4.652729493997888e-22,4.743881509390636e-21,6.989963712244069e-21,1.954196722908484e-21,5.940859801512055e-22
5.9922168383629385e-21,1.0927645500762187e-21,3.91682065682119e-21,9.593388765631852e-21,9.143165748096038e-23,1.3157170467681564e-21
7.220768945866038e-21,5.9441914166252e-22,6.923421761291378e-23,5.759338659197996e-21,4.445903690033568e-22,1.6789989082956313e-21
3.63167134486794e-21,2.3541880898345503e-23,1.7941119360003888e-21,2.4604880108464067e-21,2.832689711392883e-21,1.5726324314762029e-22
3.261897532156173e-22,1.0717588403418301e-21,5.763376970777871e-22,3.1467260999939746e-22,4.696995674244955e-22,1.19036054554399e-21
6.7415080257159114e-21,7.02074752238918e-22,3.751796265968986e-21,2.1875750216135665e-21,4.728502214654234e-21,4.278342942734409e-21
1.9179560906519988e-20,1.2269071111975687e-20,3.937078260998369e-21,1.8569963376961242e-20,1.8798854000283312e-21,1.493617018781885e-20
8.329978618939272e-22,7.38356082336722e-21,8.114632016698188e-21,2.090311097123613e-21,3.422221454231777e-21,1.0817913882596063e-20
3.386644559352094e-21,1.7070449937968748e-21,2.743478965812569e-21,4.068397277984061e-21,3.0164459189826368e-21,7.529183039199631e-22
5.057030675089516e-21,3.68692062513898e-21,6.333626415794498e-21,4.587605909379909e-21,6.945139361718338e-21,3.544595505784177e-21
1.5363386480192209e-21,8.737062044425159e-21,2.903404425949902e-21,1.811605365792314e-21,5.218002153170623e-21,6.1459085053433424e-21
7.460032149058235e-21,3.834396100621824e-21,4.7547123583123544e-23,8.911868884227345e-21,9.35728102440454e-22,1.4937445568800388e-21
3.3208174178509667e-21,1.705086725504493e-21,5.8467139747154004e-21,9.260372281613344e-21,5.930877531767586e-22,1.0181048376574128e-21
1.2427261911972014e-20,4.815879015489282e-21,1.451617389262375e-21,9.959073582780439e-21,8.294252767075838e-22,7.905295384184883e-21
1.0622007256082731e-20,1.6179011024018366e-21,8.55002990742438e-23,6.0728971544112315e-21,4.446779826423089e-21,1.805783870205986e-21
